DATE,PRCP,T_MIDRANGE,MONTH
1974-01-06,0.0,0.0,0.0
1974-01-13,0.0,0.0,0.0
1974-01-20,0.0,0.0,0.0
1974-01-27,0.0,0.0,0.0
1974-02-03,0.0,0.0,0.0
1974-02-10,0.0,0.0,0.0
1974-02-17,0.0,0.0,0.0
1974-02-24,0.0,0.0,0.0
1974-03-03,0.0,0.0,0.0
1974-03-10,0.0,0.0,0.0
1974-03-17,0.0,0.0,0.0
1974-03-24,0.0,0.0,0.0
1974-03-31,0.0,0.0,0.0
1974-04-07,0.0455081906198655,-0.5150271971217292,0.14285714285714285
1974-04-14,0.6086507690450511,-0.03446046675923294,0.14285714285714285
1974-04-21,-0.5163745610079482,0.5866920413486998,0.14285714285714285
1974-04-28,-0.9642429874736161,1.2172401336128875,0.14285714285714285
1974-05-05,-1.225680669680711,-0.2608987901694884,0.2857142857142857
1974-05-12,1.7708173678680674,-1.24047543460861,0.2857142857142857
1974-05-19,3.387805062294747,-0.3983527065295078,0.2857142857142857
1974-05-26,-1.0845800683750715,0.4792644505843347,0.2857142857142857
1974-06-02,-0.33882344823880567,-0.667713743838779,0.42857142857142855
1974-06-09,2.112799499446678,-0.18784298267304275,0.42857142857142855
1974-06-16,-1.6666808926686618,-0.8709367492925795,0.42857142857142855
1974-06-23,2.4359450729725394,-0.057000773682240005,0.42857142857142855
1974-06-30,-1.773766170445263,-0.08797140293804173,0.42857142857142855
1974-07-07,-1.2813669229530242,0.4321584082009316,0.5714285714285714
1974-07-14,0.17940224859955448,0.9322122760726952,0.5714285714285714
1974-07-21,-1.4224675242586637,0.7001065489533728,0.5714285714285714
1974-07-28,0.040821300888658575,0.24181083288718264,0.5714285714285714
1974-08-04,-0.07210594645363431,-0.7685956652202132,0.7142857142857143
1974-08-11,1.2670899391525674,-0.38094082262512186,0.7142857142857143
1974-08-18,-0.921229207882214,-0.15718672586691476,0.7142857142857143
1974-08-25,0.4450529538674812,-0.1617105256458517,0.7142857142857143
1974-09-01,-0.5749450541148508,-0.14468261111081385,0.8571428571428571
1974-09-08,-0.7828164756811945,-0.8354320388947066,0.8571428571428571
1974-09-15,-0.499355446272544,-0.4317699047741448,0.8571428571428571
1974-09-22,-1.1815516570493627,-0.9589665713195334,0.8571428571428571
1974-09-29,-0.9251769037842056,-0.9415673414005438,0.8571428571428571
1974-10-06,-0.32453586705952114,-0.5451527774153292,1.0
1974-10-13,-0.12107383928397866,-0.037443248379209475,1.0
1974-10-20,-0.446109153005898,-0.5785592988597894,1.0
1974-10-27,-0.8303563262042908,0.14350874277828385,1.0
1974-11-03,0.0,0.0,0.0
1974-11-10,0.0,0.0,0.0
1974-11-17,0.0,0.0,0.0
1974-11-24,0.0,0.0,0.0
1974-12-01,0.0,0.0,0.0
1974-12-08,0.0,0.0,0.0
1974-12-15,0.0,0.0,0.0
1974-12-22,0.0,0.0,0.0
1974-12-29,0.0,0.0,0.0
1975-01-05,0.0,0.0,0.0
1975-01-12,0.0,0.0,0.0
1975-01-19,0.0,0.0,0.0
1975-01-26,0.0,0.0,0.0
1975-02-02,0.0,0.0,0.0
1975-02-09,0.0,0.0,0.0
1975-02-16,0.0,0.0,0.0
1975-02-23,0.0,0.0,0.0
1975-03-02,0.0,0.0,0.0
1975-03-09,0.0,0.0,0.0
1975-03-16,0.0,0.0,0.0
1975-03-23,0.0,0.0,0.0
1975-03-30,0.0,0.0,0.0
1975-04-06,-1.0379428551198653,-2.7602238258681626,0.14285714285714285
1975-04-13,-0.35322699074830266,-1.2778094367702386,0.14285714285714285
1975-04-20,-0.0508685593790756,-0.1305042159120566,0.14285714285714285
1975-04-27,2.8694099569287106,0.4923882151877756,0.14285714285714285
1975-05-04,0.048634135860844606,-0.5758248517032027,0.2857142857142857
1975-05-11,0.14753053945452932,0.17025412722307637,0.2857142857142857
1975-05-18,-1.105997123930392,0.15146295891056807,0.2857142857142857
1975-05-25,0.2017030917415156,2.097044848451999,0.2857142857142857
1975-06-01,-0.05032311164066825,-1.0800754929188354,0.42857142857142855
1975-06-08,-0.5750409727460145,-0.5034650134035165,0.42857142857142855
1975-06-15,1.2120233393258553,-0.6736294820112363,0.42857142857142855
1975-06-22,0.8063591105721422,0.4799394616177826,0.42857142857142855
1975-06-29,-1.1205459760079952,0.9866050368587629,0.42857142857142855
1975-07-06,-0.009571771006212638,0.7039343795355504,0.5714285714285714
1975-07-13,-1.174281645176423,-0.8971427576098836,0.5714285714285714
1975-07-20,-1.0174332089036364,0.4735685754081267,0.5714285714285714
1975-07-27,-0.7383815732857872,0.007965182775962306,0.5714285714285714
1975-08-03,-0.422337796122989,0.8203020109819288,0.7142857142857143
1975-08-10,-1.2790200183357994,0.32303201989720154,0.7142857142857143
1975-08-17,-0.9306779088625022,0.21898462498164284,0.7142857142857143
1975-08-24,2.1855036744365943,0.8067306116451163,0.7142857142857143
1975-08-31,-0.17037243664863294,-0.15997060265395294,0.7142857142857143
1975-09-07,-0.11069887928334972,0.4308839146093657,0.8571428571428571
1975-09-14,-0.9150982894052314,-0.7212930906261338,0.8571428571428571
1975-09-21,-1.1248594511676326,-0.8176848243773368,0.8571428571428571
1975-09-28,-0.7828164756811945,-1.6323167691844356,0.8571428571428571
1975-10-05,-0.48390395692705124,0.3571712861834776,1.0
1975-10-12,-0.7818529945054772,0.8808881067450688,1.0
1975-10-19,-0.7232710484276894,0.3154131343779024,1.0
1975-10-26,-0.4253220108492636,0.36065113216727557,1.0
1975-11-02,0.0,0.0,0.0
1975-11-09,0.0,0.0,0.0
1975-11-16,0.0,0.0,0.0
1975-11-23,0.0,0.0,0.0
1975-11-30,0.0,0.0,0.0
